Year,Month,CO2 Emission
1973,Jan,106.363
1973,Feb,101.76
1973,Mar,110.553
1973,Apr,104.734
1973,May,114.897
1973,Jun,109.24
1973,Jul,112.139
1973,Aug,116.683
1973,Sep,106.558
1973,Oct,111.655
1973,Nov,112.111
1973,Dec,108.505
1974,Jan,101.702
1974,Feb,94.699
1974,Mar,104.722
1974,Apr,103.963
1974,May,110.262
1974,Jun,108.271
1974,Jul,111.896
1974,Aug,113.59
1974,Sep,103.154
1974,Oct,111.238
1974,Nov,106.852
1974,Dec,110.752
1975,Jan,109.278
1975,Feb,96.311
1975,Mar,107.668
1975,Apr,106.921
1975,May,109.491
1975,Jun,108.366
1975,Jul,110.528
1975,Aug,110.382
1975,Sep,105.805
1975,Oct,111.233
1975,Nov,102.308
1975,Dec,113.272
1976,Jan,108.551
1976,Feb,100.674
1976,Mar,113.871
1976,Apr,112.309
1976,May,111.165
1976,Jun,114.374
1976,Jul,117.051
1976,Aug,114.179
1976,Sep,112.267
1976,Oct,113.608
1976,Nov,113.584
1976,Dec,122.117
1977,Jan,112.072
1977,Feb,108.661
1977,Mar,117.714
1977,Apr,116.508
1977,May,114.986
1977,Jun,119.16
1977,Jul,118.405
1977,Aug,121.821
1977,Sep,117.014
1977,Oct,118.562
1977,Nov,117.087
1977,Dec,124.403
1978,Jan,117.015
1978,Feb,112.042
1978,Mar,125.332
1978,Apr,118.81
1978,May,126.992
1978,Jun,123.855
1978,Jul,122.475
1978,Aug,127.988
1978,Sep,117.731
1978,Oct,123.353
1978,Nov,122.424
1978,Dec,125.518
1979,Jan,123.167
1979,Feb,118.58
1979,Mar,130.63
1979,Apr,117.36
1979,May,123.727
1979,Jun,119.237
1979,Jul,118.053
1979,Aug,124.07
1979,Sep,116.094
1979,Oct,123.559
1979,Nov,116.883
1979,Dec,122.79
1980,Jan,119.451
1980,Feb,115.62
1980,Mar,120.083
1980,Apr,119.44
1980,May,117.929
1980,Jun,113.236
1980,Jul,117.026
1980,Aug,113.828
1980,Sep,113.574
1980,Oct,119.433
1980,Nov,109.646
1980,Dec,120.805
1981,Jan,121.17
1981,Feb,107.199
