Year,DailyWage
1950,24.27
1951,24.17
1952,23.76
1953,24.17
1954,25.18
1955,25.74
1956,26.19
1957,26.68
1958,27.05
1959,27.59
1960,27.78
1961,27.51
1962,28.08
1963,28.57
1964,28.87
1965,28.32
1966,28.35
1967,28.92
1968,29.51
1969,28.64
1970,29.83
1971,30.2
1972,31.99
1973,37.36
1974,37.53
1975,40.09
1976,39.52
1977,37.01
1978,36.98
1979,36.1
1980,35.65
1981,35.96
1982,36.21
1983,37.24
1984,37.58
1985,38.3
1986,39.97
1987,41.42
1988,43.76
1989,45.4
1990,46.19
1991,46.86
1992,49.42
1993,49.51
1994,49.99
