Week,Gas Price
2000-06-04,1.766
2000-06-11,1.804
2000-06-18,1.845
2000-06-25,1.859
2000-07-02,1.867
2000-07-09,1.866
2000-07-16,1.863
2000-07-23,1.853
2000-07-30,1.83
2000-08-06,1.821
2000-08-13,1.807
2000-08-20,1.797
2000-08-27,1.792
2000-09-03,1.792
2000-09-10,1.799
2000-09-17,1.794
2000-09-24,1.793
2000-10-01,1.781
2000-10-08,1.774
2000-10-15,1.784
2000-10-22,1.784
2000-10-29,1.784
2000-11-05,1.779
2000-11-12,1.771
2000-11-19,1.767
2000-11-26,1.765
2000-12-03,1.762
2000-12-10,1.751
2000-12-17,1.74
2000-12-24,1.728
2000-12-31,1.719
2001-01-07,1.705
2001-01-14,1.697
2001-01-21,1.694
2001-01-28,1.685
2001-02-04,1.684
2001-02-11,1.685
2001-02-18,1.686
2001-02-25,1.681
2001-03-04,1.667
2001-03-11,1.661
2001-03-18,1.656
2001-03-25,1.64
2001-04-01,1.647
2001-04-08,1.677
2001-04-15,1.732
2001-04-22,1.804
2001-04-29,1.854
2001-05-06,1.901
2001-05-13,1.93
2001-05-20,1.93
2001-05-27,1.966
2001-06-03,1.965
2001-06-10,1.949
2001-06-17,1.928
2001-06-24,1.911
2001-07-01,1.883
2001-07-08,1.863
2001-07-15,1.835
2001-07-22,1.799
2001-07-29,1.777
2001-08-05,1.747
2001-08-12,1.737
2001-08-19,1.721
2001-08-26,1.703
2001-09-02,1.691
2001-09-09,1.687
2001-09-16,1.683
2001-09-23,1.676
2001-09-30,1.644
2001-10-07,1.611
2001-10-14,1.587
2001-10-21,1.555
2001-10-28,1.526
2001-11-04,1.496
2001-11-11,1.459
2001-11-18,1.431
2001-11-25,1.408
2001-12-02,1.376
2001-12-09,1.353
2001-12-16,1.329
2001-12-23,1.321
2001-12-30,1.313
2002-01-06,1.327
2002-01-13,1.347
2002-01-20,1.348
2002-01-27,1.346
2002-02-03,1.34
2002-02-10,1.338
2002-02-17,1.338
2002-02-24,1.342
2002-03-03,1.34
2002-03-10,1.379
2002-03-17,1.445
2002-03-24,1.508
2002-03-31,1.549
2002-04-07,1.578
2002-04-14,1.609
2002-04-21,1.62
2002-04-28,1.62
2002-05-05,1.626
2002-05-12,1.623
2002-05-19,1.626
2002-05-26,1.622
2002-06-02,1.619
2002-06-09,1.612
2002-06-16,1.607
2002-06-23,1.606
2002-06-30,1.602
2002-07-07,1.601
2002-07-14,1.6
2002-07-21,1.624
2002-07-28,1.632
2002-08-04,1.644
2002-08-11,1.647
2002-08-18,1.648
2002-08-25,1.655
2002-09-01,1.658
2002-09-08,1.657
2002-09-15,1.654
2002-09-22,1.653
2002-09-29,1.657
2002-10-06,1.663
2002-10-13,1.667
2002-10-20,1.671
2002-10-27,1.675
2002-11-03,1.678
2002-11-10,1.694
2002-11-17,1.692
2002-11-24,1.693
2002-12-01,1.69
2002-12-08,1.688
2002-12-15,1.682
2002-12-22,1.698
2002-12-29,1.719
2003-01-05,1.724
2003-01-12,1.718
2003-01-19,1.721
2003-01-26,1.722
2003-02-02,1.743
2003-02-09,1.812
2003-02-16,1.853
2003-02-23,1.86
2003-03-02,1.865
2003-03-09,1.871
2003-03-16,1.883
2003-03-23,1.88
2003-03-30,1.865
2003-04-06,1.854
2003-04-13,1.838
2003-04-20,1.825
2003-04-27,1.81
2003-05-04,1.791
2003-05-11,1.774
2003-05-18,1.758
2003-05-25,1.743
2003-06-01,1.726
2003-06-08,1.71
2003-06-15,1.702
2003-06-22,1.696
2003-06-29,1.691
2003-07-06,1.688
2003-07-13,1.709
2003-07-20,1.723
2003-07-27,1.725
2003-08-03,1.724
2003-08-10,1.743
2003-08-17,1.783
2003-08-24,1.948
2003-08-31,2.006
2003-09-07,1.998
2003-09-14,1.976
2003-09-21,1.954
2003-09-28,1.939
2003-10-05,1.92
2003-10-12,1.907
2003-10-19,1.896
2003-10-26,1.885
2003-11-02,1.867
2003-11-09,1.848
2003-11-16,1.831
2003-11-23,1.811
2003-11-30,1.804
2003-12-07,1.789
2003-12-14,1.784
2003-12-21,1.778
2003-12-28,1.766
2004-01-04,1.774
2004-01-11,1.792
2004-01-18,1.819
2004-01-25,1.845
2004-02-01,1.862
2004-02-08,1.855
2004-02-15,1.862
2004-02-22,1.873
2004-02-29,1.896
2004-03-07,1.912
2004-03-14,1.916
2004-03-21,1.922
2004-03-28,1.931
2004-04-04,1.941
2004-04-11,1.943
2004-04-18,1.953
2004-04-25,1.973
2004-05-02,2.012
2004-05-09,2.097
2004-05-16,2.198
2004-05-23,2.276
2004-05-30,2.294
2004-06-06,2.305
2004-06-13,2.302
2004-06-20,2.278
2004-06-27,2.262
2004-07-04,2.237
2004-07-11,2.234
2004-07-18,2.223
2004-07-25,2.212
2004-08-01,2.197
2004-08-08,2.185
2004-08-15,2.169
2004-08-22,2.167
2004-08-29,2.145
2004-09-05,2.133
2004-09-12,2.125
2004-09-19,2.098
2004-09-26,2.125
2004-10-03,2.146
2004-10-10,2.185
2004-10-17,2.245
2004-10-24,2.239
2004-10-31,2.239
2004-11-07,2.232
2004-11-14,2.219
2004-11-21,2.2
2004-11-28,2.187
2004-12-05,2.176
2004-12-12,2.148
2004-12-19,2.13
2004-12-26,2.119
2005-01-02,2.098
2005-01-09,2.077
2005-01-16,2.066
2005-01-23,2.069
2005-01-30,2.111
2005-02-06,2.113
2005-02-13,2.101
2005-02-20,2.093
2005-02-27,2.092
