Year,Quarter,Pax
2000,Q1,21
2000,Q2,61
2000,Q3,119
2000,Q4,30
2001,Q1,16
2001,Q2,71
2001,Q3,124
2001,Q4,33
2002,Q1,25
2002,Q2,63
2002,Q3,122
2002,Q4,27
2003,Q1,23
2003,Q2,77
2003,Q3,149
2003,Q4,39
2004,Q1,31
2004,Q2,82
2004,Q3,150
2004,Q4,45
2005,Q1,30
2005,Q2,88
2005,Q3,151
2005,Q4,40
2006,Q1,30
2006,Q2,89
2006,Q3,155
2006,Q4,49
2007,Q1,36
2007,Q2,88
2007,Q3,175
2007,Q4,59
2008,Q1,53
2008,Q2,48
2008,Q3,178
2008,Q4,56
2009,Q1,36
2009,Q2,117
2009,Q3,181
2009,Q4,54
2010,Q1,33
2010,Q2,82
2010,Q3,176
2010,Q4,45
2011,Q1,30
2011,Q2,84
2011,Q3,159
2011,Q4,45
2012,Q1,24
2012,Q2,58
2012,Q3,138
2012,Q4,35
2013,Q1,21
2013,Q2,58
2013,Q3,133
2013,Q4,36
2014,Q1,19
2014,Q2,62
2014,Q3,135
2014,Q4,36
2015,Q1,21
2015,Q2,62
2015,Q3,142
2015,Q4,42
2016,Q1,29
2016,Q2,81
2016,Q3,151
2016,Q4,54
2017,Q1,29
2017,Q2,96
2017,Q3,152
2017,Q4,61
