Year,Month,Food
1992,Jan,164083
1992,Feb,164260
1992,Mar,163747
1992,Apr,164759
1992,May,165617
1992,Jun,166098
1992,Jul,167305
1992,Aug,167797
1992,Sep,169407
1992,Oct,170681
1992,Nov,171025
1992,Dec,172995
1993,Jan,175078
1993,Feb,173770
1993,Mar,172328
1993,Apr,176766
1993,May,178445
1993,Jun,178201
1993,Jul,180759
1993,Aug,180692
1993,Sep,181800
1993,Oct,182910
1993,Nov,184746
1993,Dec,186339
1994,Jan,185128
1994,Feb,188077
1994,Mar,191588
1994,Apr,191632
1994,May,190940
1994,Jun,193196
1994,Jul,193763
1994,Aug,196157
1994,Sep,197754
1994,Oct,199579
1994,Nov,199723
1994,Dec,200670
1995,Jan,201583
1995,Feb,198383
1995,Mar,200230
1995,Apr,201048
1995,May,202993
1995,Jun,205507
1995,Jul,204959
1995,Aug,206529
1995,Sep,206978
1995,Oct,206157
1995,Nov,208661
1995,Dec,210434
1996,Jan,208731
1996,Feb,212011
1996,Mar,213855
1996,Apr,214644
1996,May,216304
1996,Jun,216059
1996,Jul,216374
1996,Aug,216355
1996,Sep,219240
1996,Oct,221039
1996,Nov,220989
1996,Dec,221898
1997,Jan,223524
1997,Feb,225409
1997,Mar,226136
1997,Apr,224588
1997,May,222906
1997,Jun,226048
1997,Jul,228738
1997,Aug,229317
1997,Sep,230284
1997,Oct,229822
1997,Nov,230486
1997,Dec,231197
1998,Jan,231605
1998,Feb,231664
1998,Mar,233043
1998,Apr,235976
1998,May,237055
1998,Jun,238958
1998,Jul,237423
1998,Aug,236412
1998,Sep,238542
1998,Oct,242531
1998,Nov,244307
1998,Dec,246577
1999,Jan,246891
1999,Feb,249510
1999,Mar,250657
1999,Apr,252418
1999,May,254738
1999,Jun,255472
1999,Jul,257441
1999,Aug,260253
1999,Sep,261352
1999,Oct,261825
1999,Nov,264883
1999,Dec,269876
2000,Jan,268091
2000,Feb,272020
2000,Mar,275214
2000,Apr,271004
2000,May,271418
2000,Jun,273440
2000,Jul,272638
2000,Aug,272943
2000,Sep,277523
2000,Oct,276973
2000,Nov,275923
2000,Dec,275736
2001,Jan,278916
2001,Feb,278799
2001,Mar,276468
2001,Apr,280804
2001,May,281540
2001,Jun,280399
2001,Jul,279522
2001,Aug,281423
2001,Sep,276095
2001,Oct,294613
2001,Nov,286960
2001,Dec,283708
2002,Jan,283577
2002,Feb,285061
2002,Mar,284263
2002,Apr,288820
2002,May,284994
2002,Jun,287401
2002,Jul,290427
2002,Aug,292582
2002,Sep,288434
2002,Oct,289634
2002,Nov,291475
2002,Dec,293819
2003,Jan,295294
2003,Feb,291178
2003,Mar,296347
2003,Apr,295643
2003,May,296395
2003,Jun,299662
2003,Jul,302788
2003,Aug,307745
2003,Sep,305916
2003,Oct,304824
2003,Nov,308551
2003,Dec,307362
2004,Jan,309225
2004,Feb,311427
2004,Mar,316935
2004,Apr,313531
2004,May,318962
2004,Jun,314971
2004,Jul,318532
2004,Aug,318945
2004,Sep,324607
2004,Oct,326680
2004,Nov,327837
2004,Dec,331877
2005,Jan,328957
2005,Feb,332980
2005,Mar,333293
2005,Apr,337003
2005,May,334454
2005,Jun,343955
2005,Jul,346690
2005,Aug,343110
2005,Sep,343633
2005,Oct,344319
2005,Nov,347239
2005,Dec,347526
2006,Jan,357360
2006,Feb,354735
2006,Mar,355826
2006,Apr,357601
2006,May,356524
2006,Jun,357754
2006,Jul,359087
2006,Aug,360514
2006,Sep,358702
2006,Oct,358398
2006,Nov,359208
2006,Dec,364270
2007,Jan,363520
2007,Feb,364090
2007,Mar,367414
2007,Apr,366280
2007,May,370867
2007,Jun,368080
2007,Jul,369500
2007,Aug,371019
2007,Sep,372936
2007,Oct,375217
2007,Nov,378481
2007,Dec,375256
2008,Jan,375280
2008,Feb,371734
2008,Mar,372656
2008,Apr,373086
2008,May,375851
2008,Jun,376378
2008,Jul,374837
2008,Aug,372112
2008,Sep,366377
2008,Oct,352768
2008,Nov,339776
2008,Dec,332307
2009,Jan,336918
2009,Feb,335698
2009,Mar,329947
2009,Apr,331313
2009,May,334315
2009,Jun,339535
2009,Jul,340229
2009,Aug,346657
2009,Sep,338427
2009,Oct,341578
2009,Nov,344579
2009,Dec,346215
2010,Jan,346252
2010,Feb,346835
2010,Mar,354564
2010,Apr,357095
2010,May,354267
2010,Jun,353811
2010,Jul,354457
2010,Aug,356505
2010,Sep,359326
2010,Oct,363736
2010,Nov,367330
2010,Dec,369294
2011,Jan,372047
2011,Feb,374970
2011,Mar,378472
2011,Apr,380796
2011,May,380402
2011,Jun,383072
2011,Jul,382930
2011,Aug,383822
2011,Sep,387402
2011,Oct,390299
2011,Nov,391571
2011,Dec,391744
2012,Jan,395317
2012,Feb,400042
2012,Mar,401859
2012,Apr,400077
2012,May,399370
2012,Jun,395782
2012,Jul,397347
2012,Aug,401904
2012,Sep,405658
2012,Oct,405877
2012,Nov,407386
2012,Dec,409343
2013,Jan,412125
2013,Feb,416603
2013,Mar,413848
2013,Apr,412655
2013,May,414182
2013,Jun,415777
2013,Jul,418222
2013,Aug,417503
2013,Sep,417565
2013,Oct,419693
2013,Nov,421033
2013,Dec,423005
2014,Jan,418800
2014,Feb,424117
2014,Mar,429720
2014,Apr,433675
2014,May,434334
2014,Jun,435094
2014,Jul,435688
2014,Aug,439554
2014,Sep,438687
2014,Oct,440396
2014,Nov,442106
2014,Dec,439323
2015,Jan,435929
2015,Feb,434153
2015,Mar,442225
2015,Apr,442183
2015,May,446238
2015,Jun,446238
2015,Jul,449403
2015,Aug,449592
2015,Sep,449496
2015,Oct,448616
2015,Nov,450509
2015,Dec,452756
2016,Jan,448171
2016,Feb,451209
2016,Mar,451274
2016,Apr,454231
2016,May,455753
2016,Jun,460563
2016,Jul,459744
2016,Aug,460198
2016,Sep,463045
2016,Oct,465368
2016,Nov,466974
2016,Dec,470996
2017,Jan,473464
2017,Feb,472513
2017,Mar,472991
2017,Apr,474547
2017,May,474760
2017,Jun,474488
2017,Jul,476752
2017,Aug,476513
2017,Sep,485419
2017,Oct,486553
